Generation,Name,Gene0,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15
5,John RosenblattII,0.9333057,0.252288,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,0.5821545,0.2516336,0.2176762,0.2267976,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
5,Hugo Rosenblatt ,-0.04862732,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,0.3255571,-0.8819762,0.7635616,0.2918049,0.7643005,-0.3685142,-0.613732,0.04512525,0.5172831
5,John Rosenblatt ,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,0.3255571,-0.8819762,0.7635616,0.2918049,0.7643005,-0.3685142,-0.613732,0.04512525,0.5172831
5,Frank HayesVIII,-0.04862732,0.2920191,-0.7405016,-0.7615684,0.9858274,0.8021823,-0.2646654,0.4233307,-0.7873736,0.7635616,0.2918049,0.7643005,0.006631732,-0.613732,0.04512525,0.5172831
5,Frank HayesIV,-0.04862732,0.2920191,-0.7405016,-0.7615684,0.9858274,0.8021823,-0.2646654,0.4233307,-0.7873736,0.7635616,0.2918049,0.7643005,0.006631732,-0.613732,0.04512525,0.5172831
5,Frank HayesII,-0.04862732,0.2920191,-0.7405016,-0.7615684,0.9858274,0.8021823,-0.2646654,0.4233307,-0.7873736,0.7635616,0.2918049,0.7643005,0.006631732,-0.613732,0.04512525,0.5172831
5,Frank HayesVI,-0.04862732,0.2920191,-0.7405016,-0.7615684,0.9858274,0.8021823,-0.2646654,0.4233307,-0.7873736,0.7635616,0.2918049,0.7643005,0.006631732,-0.613732,0.04512525,0.5172831
5,Frank Hayes ,-0.04862732,0.2920191,-0.7405016,-0.7615684,0.9858274,0.8021823,-0.2646654,0.4233307,-0.8819762,0.7635616,0.2918049,0.7643005,0.006631732,-0.613732,0.04512525,0.5172831
5,Marvin Hayes ,-0.04862732,0.2920191,-0.7405016,-0.7615684,0.9858274,0.8021823,-0.2646654,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
5,Marvin HayesII,-0.4010284,0.2920191,-0.7405016,-0.7615684,0.9858274,0.8021823,-0.2646654,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
5,Frank HayesVII,0.9333057,-0.5628937,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,-0.3375032,0.2516336,0.2176762,0.05378175,0.334843,-0.6665573,0.2795982,0.8570812,-0.5363922
6,Valentino MinskyII,-0.8644794,-0.4289883,-0.6757611,-0.4792238,-0.5483173,0.9513901,0.006219029,0.5162885,0.7980943,-0.4659746,-0.3948869,-0.909336,-0.7536925,0.6679435,0.8570812,-0.5363922
6,Valentino Minsky ,-0.8644794,-0.4289883,-0.6757611,-0.4792238,-0.5483173,0.9513901,0.006219029,0.5162885,0.7980943,-0.4659746,-0.3948869,-0.909336,-0.7536925,0.6679435,0.8570812,-0.5363922
6,Frank Hayes ,-0.04862732,0.2920191,-0.7405016,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.1341413,-0.2001712,0.9257029,-0.908625,0.8116992,0.6679435,0.8570812,-0.5363922
6,Patrick Braitenberg ,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,-0.001310229,-0.908625,0.8116992,-0.1572502,-0.6418984,0.07540381
6,Patrick SearleII,-0.4010284,0.5754998,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.06829894,0.8116992,-0.613732,0.04512525,0.5172831
6,Patrick RosenblattII,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.4574829,-0.4121968,-0.2001712,0.9257029,-0.908625,0.8116992,0.2795982,0.5110511,-0.465603
6,Patrick Rosenblatt ,-0.4010284,-0.07067925,0.03750658,0.5781723,0.6018744,-0.5035375,0.3257221,0.5821545,0.2516336,0.2176762,0.05378175,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
6,Frank HayesII,0.9333057,-0.5628937,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,-0.3375032,0.2516336,0.2176762,0.2267976,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
6,Frank HayesIII,0.9333057,-0.5628937,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,-0.3375032,0.2516336,0.2176762,0.2267976,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
6,John Rosenblatt ,0.9333057,0.252288,-0.7960575,0.9762307,-0.6139064,0.3284602,0.3257221,0.5821545,0.2516336,0.2176762,0.2267976,0.334843,-0.6665573,0.2795982,0.5110511,-0.465603
6,Hugo Rosenblatt ,-0.04862732,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,0.3255571,-0.8819762,0.7635616,0.2918049,0.7643005,-0.3685142,-0.613732,0.04512525,0.5172831
6,Patrick RosenblattIII,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.7012907,-0.8819762,0.7635616,0.2918049,0.7643005,-0.3685142,-0.613732,0.04512525,0.5172831
6,Patrick RosenblattIV,-0.4010284,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,-0.7012907,-0.8819762,0.7635616,0.2918049,0.7643005,-0.3685142,-0.613732,0.04512525,0.5875416
6,Hugo RosenblattII,-0.04862732,0.8725772,0.03750658,0.5781723,0.6018744,-0.5035375,0.8983701,0.3255571,-0.8819762,0.7635616,0.2918049,0.7643005,-0.3685142,-0.613732,0.04512525,0.5172831
